"comentario";"depressao"
"tenho 13 anos, nunca conheci meu pai, minha mae e esquizofrenia, eu dou os remedios dela... minha vo cuidava de mim desde quando eu era pequena, tava doente de pneumonia, tinha varios problemas respiratorios, e infelizmente faleceu... tenho uma tia usuaria de drogas, ela teve uma filha em 2016, e desde sempre eu que cuido dela, ela e minha filha...minha outra tia entao pegou guarda dela, mas sou eu que cuido, afinal ela ja tem um de 3 anos e outro de 14... quem sustenta nos todos e o marido dela, ele compra coisas pra mim, para minha mae e para bebe... eu vou pro colegio de manha, ai minha tia fica com a bebe, quando eu chego do colegio fico com ela direto, tem minha mae que e esquizofrenia, dou os remedios dela, eu nao tenho amigos no colegio, fico sozinha, tenho serio problema de auto estima, e o pior ja fui abusada sexualmente... e nao sei com encara essa realidade me sinto extremamente sozinha... por favor me respondi, preciso muito de ajuda!!! nao sei o que fazer com tantos problemas... e o pior tenho que disfarca que estou bem, mas a verdade e que estou mal...";"s"
"eu sou so mais um merda desses 5% .. :c mais eu ja aceitei deixei de ser otimista mais ainda carrego um sorrizo falso inicialmente todos me julgam pela aparencia e quem nao julgo percebeu que eu nao sirvo pra nada sou ruim em tudo que faco pra piorar sempre fui timido e inseguro o ruim e que eles sabiam disso e porisso faziam mais eu ja cansei e parei de tudo que fazia dificilmente saio de casa agora so vou pra escola ...e so fico no pc mais mesmo assim ainda me julgam por nao fazer nada e so ficar no pc eu sempre fiz o certo fazia tudo direito sempre fui bom e ajudava os outros mais nunca chegava a algum lugar e o pouco que eu queria cansei de querer hj eu nao quero mais nada,eu era timido mais com quem tinha intimidade eu falava muito tanto que eles sempre reclamavam que eu falavao tanto e hj eu nao falo nada sou quieto e todos perguntam pq eu nao falo nada nao quero me corta nem me mata pois sei que nao leva a nada minha depressao foi causada por magoas,eu so quero encontrar um sentido pra tudo.  (nao sei pq to falando isso aki  ._. ngm vai ler mesmo  tem 1.616 comentarios )";"s"
"minha familia me odeia eu me corto tento me mata todos dizem que e frescura minha mas nao e eu tenho depressao mas ninguem liga pra se eu estou viva ou morta a morte e a unica esperanca pra poder se liberta do sofrimento a vida e uma tortura viver e como se tivesse me matando de dentro pra fora isso eu nao desejo pra ninguem nem pra que me faz tanto mal";"s"
"e quando voce quer ajudar alguem com depressao e nao consegue? a depressao nao afeta somente quem a tem, mas tambem todos que estao em volta dessa pessoa. minha irma tem depressao, e eu gostaria muito de poder ajuda-la de uma forma mais efetiva, mas e muito dificil, quando ela tem crises, tentamos ajudar com palavras positivas, dando forca, mas ela nao escuta, nesses momentos ela se coloca como uma vitima do mundo, como se ninguem gostasse dela, como se ela fosse a errada por tudo, e acaba culpando as pessoas por coisas que ela mesmo criou na vida dela. a falta de recursos financeiros pra quem tem depressao e muito dificil, pois os medicos do sus, nao fazem nada a respeito segundo ela, apenas assinam a receita dos remedios, o que e muito ruim, por que o grau de depressao que ela se encontra, mesmo tomando remedios, deveria ter acompanhamentos reais de medicos especialistas. e onde entra a minha vontade imensa de alcancar os meus objetivos nos concursos, eu com certeza teria condicoes de pagar um psiquiatra bom pra ela, eu sem duvida faria isso.";"n"
"eu tenhum deprecao tudo sempre deu errado pra mim perde tudo que eu mais amava meus filhos meus irmaos minha mae sou um nao sou feliz em nada nao conseguir termina meus estudos nao consegui nem se quer ter uma proficao e agora perde a unica pessoa que me ajudava minha mae acabou pra mim tentei sai dessa depressao des dos meus 15 anos de idade ja tou com 32 anos pra nao da mais pra luta e agora que eu perde minha mae nao aguento mais isso w terrivel";"s"
"eu nao sei nem o que dizer. voces descreveram tudo o que sinto neste momento. vivo em um mar de desesperanca e rezo todos os dias pra que seja o ultimo.tentei procurar ajuda psiquiatrica, mas como estou desempregada tive que faze-lo pelo sus. sai de la com menos esperanca ainda, pois ouvi da psiquiatra, quando pedi um encaminhamento para o psicologo, que psicologo mais atrapalha do que ajuda. nao tenho grana pra comprar os remedios, nao tenho psicologa, nao tenho nada...";"s"
"to c tudos,mas na minha casa,ninguem ta nem ai,se reclamo os problemas,todos arrumam desculpas para parecer q eles tem problemas  tambem.parece q tem competicao pra ver quem tem mais,ja pensei em da fim na minha vida de varias maneiras,mas sou tao covarde,q poderia pular da janela,mas,se eu nao morrer e ficar numa cadeira de rodas,ai a coisa vai piorar.ja pensei contratar uma pessoa pra dar um tiro em mim,mas nao achei.alem de ser inutil,sou uma cretina tambem";"s"
"esse video me tocou de um jeito muito profundo e ate mesmo estranho. ouvindo a nilce falar, me fez sentir como se houvesse realmente saida. me deu uma pontinha de esperanca onde so tem tristeza e negacao. ouvindo a nilce falar, eu comecei a chorar. e como se algum familiar ou amigo meu estivesse falando comigo. obrigada por me entender, e principalmente por me ouvir. seu video atingiu em cheio minha mente conturbada. me deu paz. minha historia com a depressao nao e facil e nem um pouco bonita. mas poderia ser bem pior. e ver que existem pessoas, mesmo nao sendo do meu convivio, que se preocupam com alguem como eu, faz meu coracao aquecer. obrigada de verdade ";"s"
"tudo, absolutamente tudo pelo que as pessoas do video passaram, acontece comigo. eu estou nessa a mais de 10 anos. pelo que eu me lembro, eu tinha uns 17 anos quando comecou, tenho 29 hoje em dia, e eu sempre achava que isso era apenas uma tristeza passageira, que ia passar uma hora, entao eu meio que me acostumei a viver com essa dor, esse vazio, e usava uma ''mascara social'', nao falava disso pra ninguem. com o passar do tempo, foi piorando, entao me envolvi com as drogas, passei a beber muito, brigava constantemente com minha mulher, ate que veio minha primeira tentativa de suicidio com remedios. minha mulher nao aguentou e nos nos separamos, e isso so fez com que eu, que ja estava no fundo do poco, cavasse ainda mais fundo. hoje as coisas pra mim sao cinzas, o que me deixava feliz ja nao tem mais a magia, ate a comida perdeu o gosto. eu sou musico, e meu violao serve apenas como deposito de poeira. minha pele piorou, parece que eu envelheci uns 10 anos em poucos meses. pesadelos todos os dias (quando consigo dormir), olheiras devido a insonia, e nenhum amigo. ver o relato das pessoas do video, me fez entender que mesmo que eu ache que estou sozinho, que nao estou. continuem com esse trabalho, conscientizem as pessoas como nos, pois nos ainda temos chances de melhorar, pois tem pessoas que nao tiveram essa chance. parabens aos organizadores do projeto, e as pessoas do video que estao melhorando. nos vamos chegar la, vamos ser felizes, e mostrar ao mundo o por que de termos nascido, pois cada um de nos temos uma missao na vida, e iremos cumpri-la!";"s"
"e estranho como sempre tive alguns pensamentos em me matar, e as vezes ate de matar os outros (coisa que nunca contei a ninguem)... como sempre fui quieta, acabaram me levando ao psiquiatra apos eu parti pra cima de um garoto na minha turma de ingles so porque ele estava interrompendo eu falar. tomava uns dois remedios por dia, ate que resolvi parar sem consultar o medico e virei o cao. ninguem nunca me disse o que realmente tenho mas na maioria do tempo estou me sentindo tao mal que morrer seria um alivio, mas em algum lugar vi que era coisa de egoista entao eu vivo pelos outros,  uma sem graca, sem nenhum proveito.";"s"
"eu sei que nao estamos mais em setembro, mas gostaria de lembrar que setembro amarelo e o mes da conscientizacao sobre a prevencao do suicidio e que esse movimento nao tem tanta atencao quanto deveria. a depressao e, na maioria das vezes, o motivo desse tipo de acontecimento. depressao e coisa seria, gente, e tem que ser tratada. tem muita gente que precisa de ajuda, encorajamento e apoio por qualquer motivos que seja, e nos temos que olhar por eles. pode ser um amigo nosso, um parente, namorado, ou sei la. alguem proximo de voce pode estar passando por isso, entao tente conversar, ajudar, e se manter saudavel tambem. nao e demerito nenhum procurar ajuda. ate as mentes mais saudaveis podem precisar de terapia as vezes.";"n"
"verdade, gabi. a depressao e uma doenca seria e precisa ser tratada. na epoca do mestrado, em meados de 2013/2014, fazendo minha dissertacao e estudando para concurso, eu achei que tive depressao. porem, so procurei o medico em 2017, porque minha mae e meu pai me obrigaram por outros motivos, porque eu nao demonstrava ser uma pessoa depressiva, mas estava com a mente acelerada. dai o meu medico disse que o que eu tive foi uma tristeza e revolta porque eu estava doente. so que no meu caso nao foi depressao, foi outra coisa: a minha mente estava muito acelerada e isso nao e bom e estava me fazendo muito mal. no inicio, eu tive um certo receio do tratamento, mas depois confiei no meu medico. e aceitei o tratamento. afinal, ter que tomar o mesmo remedio que pessoas autistas, por exemplo, tomam, isto me deu um certo preconceito e me recusei. quando eu aceitei que precisava me cuidar, foi tudo mais facil. o meu medico ficou muito feliz, porque reagi muito bem, e ele ate disse para diminuir a dosagem. com tempo vai diminuir mais ainda, ate tirar de vez, mas a terapia continua. na ultima vez que eu estive no consultorio, meu medico disse que eu estava otima. ele, minha mae e meu pai ficaram muito felizes por saber que eu estou bem, e deixando que o medico cuide de mim. psiquiatra e psicologo nao e, necessariamente, coisa de louco(a). na verdade, quando se faz o tratamento no tempo certo, se evita que a pessoa possa perder lucidez. o seu caso, gabi, assim como o meu, mostra o quanto e importante o apoio da familia nessas horas, e um bom medico. apesar de que e complicado essa fase de concurso por uma questao financeira, e isso mexe muito conosco. no entanto, hoje eu me sinto muito bem, porque o trabalho e so um meio de vida, e nao minha vida. eu tenho minha familia, minha mae, meu pai, minha vida, e e isso que importa. precisamos ser fortes para sobreviver nesse mundo de pessoas crueis. dai a importancia de esta sempre em comunicacao com deus tambem, que foi o primeiro responsavel pela minha cura. muita paz e muita luz pra vc, gabi!";"s"
"anemia, falta de vitamina d, hormonio da tireoide desregulada e tedio. ai esta a receita para o inicio de uma depressao. sabe o que ajuda a se livrar da depressao? entender se ela e organica ou ambiental. a partir do momento que vc entender a causa voce resolve o problema. nao tomem antidepressivos, eles sao como aspirina para dor de cabeca, trata o sintoma mas nao a causa. se for organica vc trata com vitaminas e reposicao hormonal, se for ambiental entao esta na hora de fazer uma mudanca na sua vida. quem sabe nao e hora de cuidar e pensar um pouco em si?!";"n"
"dica boa , mas outra e sempre ficar proximo a deus ele alimenta a alma de tudo sempre reze seja forte nunca se entregue , outra coisa mudancas nao resolve , procure sempre estar proximo a pessoaa que gostam de vc familia etc, nem todas pessoas ajudam acham que e frescura mas sempre lute mesmo se ouver recaidas saia proximo de pessoas assim outra dica muito boa procure destrair a mente com trabalho ou vender algumas coisas andar bastante vai ajudar";"n"
"sinceramente, nao sei ao certo se tenho ou nao depressao, mas e inegavel que de um tempo pra ca eu tenho me sentido muito pior. no dia da independencia, ocorreu um arrastao na minha casa e pelo fato de ter sido a segunda vez, eu meus pais decidimos no mudar para nossa antiga casa, visto que na outra estariamos correndo risco de morte. exatamente um dia dps minha cadela fugiu de casa, portanto, fiquei muito triste, mas ainda tinha esperanca de que ela aparecesse, no entanto, na quinta-feira da mesma semana, descobrimos que ela havia morrido, pois uma moto tinha atropelado ela, e la se foi mais alguns dias de tristeza. portanto, nao tenho certeza de estar 100% bem mentalmente porque antes disso tudo acontecer eu fazia redacao todos os dias, pois estou estudando para um concurso publico desde o inicio do ano, mas dps disso tudo eu nao consigo nem comecar a escrever uma introducao. sei que ngm se importa, mas so queria desabafar um pouco msm.";"s"
"bom gente to aqui para desabafar eu sofro a alguns anos de depressao eu so tenho 10 anos e minha mente ja esta suicida infelizmente.  eu nunca tive coragem de falar para minha familia sobre isso porque minha irma ja sofre de depressao entao acho que minha mae nao conseguiria aguentar pagar 2 psicologos entao so escondo tudo e eu sei que existem psicologos de graca mas nao sei se minha mae suportaria duas filhas suicidas.  entao obrigada a todos que leram esse comentario";"s"
"nilce, faz 1 ano que meu cachorro morreu, sim 1 ano eu ainda me sinto muito mal choro toda noite e tem dias que eu so quero ficar na cama, para mim isso nao era normal e minha familia nao percebe, pq toda vez quando eles olham para mim eu finjo que estou bem, durante 1 ano eu fiz isso. semana passada eu conversei com a minha mae, pedi para que ela me levar para um psicologo, eu estava esperando para me abrir com ela durante 1 ano inteiro de tristeza estou melhorando, mas ainda nao passei no psicologo, minhas amigas tentam pq percebem. agradeco vc por esse video foi uma luz no meu buraco so que eu ainda estou tentando achar um jeito que eu consiga sair do buraco. mesmo assim muito obrigada.  observacao: fora a todos os outros problemas que eu tenho.";"s"
"e foda! tenho transtorno bipolar e nesse exato momento,estou passando pela fase depressiva. nada esta preenchendo o vazio que esta em mim e pra piorar,todos os erros que cometi,todas as merdas de julgamentos que fiz estao fazendo com que eu queira acabar com tudo isso cometendo suicidio. vou dar uma dica pra todos. pratiquem esportes,pois e incrivel a mudanca que ocorre! me lembro que numa epoca em que estava complicada a situacao,conheci o taekwon-do e nossa,foi sensacional! alem de aprender a lutar e melhorar o condicionamento fisico,tive o enorme prazer de conhecer pessoas que me acolheram. #forcaparatodos!!!!!";"n"
"nossa  eu tenho tb,as vezes por periodos longos as vezes nem tanto, so sei que  vivo uma luta constante para nao  cair,por varias vezes fiquei planejando como tirar a minha vida e nao me sentir culpada em fazer  alguem fazer meu interro,desde da minha adolescencia vivo assim, mas nunca ninguem deu importancia todos diziam que  era preguica etc     isso me fazia me sentir pior era uma sensacao de  fracasso e inutilidade...hj com 30 anos  a minha mae comecou a intender um pouco  e depois de quase  8 meses em crise fui algumas vezes     ao psicologo estou melhor  mas vivo com medo  de ter recaida...";"s"
